type;symmetry;cryptominisat(jni);glucose(jni);minisat(jni);sat4j;lingeling(jni);plingeling(jni);minisatprover(jni)
transition;0;2819;280;430;1408;1817;1293;302
transition;0;2820;254;389;1096;1680;1176;274
transition;0;2756;263;319;1059;1631;1124;228
transition;0;3473;302;416;1063;1958;1349;247
transition;0;2783;249;318;1002;1644;1124;201
transition;0;2790;249;298;953;1578;1124;210
transition;0;2746;249;323;957;1563;1124;194
transition;0;2764;251;303;1002;1551;1100;200
transition;0;2759;246;311;987;1564;1109;186
transition;0;2762;246;306;914;1564;1110;204
transition;20;2143;370;706;2079;1401;3965;196
transition;20;2107;368;736;2056;1400;3942;196
transition;20;2113;379;720;2030;1393;3955;192
transition;20;2158;361;704;2085;1406;3951;201
transition;20;2102;379;718;2044;1402;3950;189
transition;20;2120;383;718;2004;1406;3966;200
transition;20;2097;357;681;2071;1411;3963;212
transition;20;2097;360;684;2072;1404;3963;196
transition;20;2118;352;688;1962;1415;3960;194
transition;20;2112;358;718;2058;1427;3987;193
state;0;11756;114;505;237;1624;1482;310
state;0;11653;117;502;216;1632;1491;297
state;0;11739;115;513;230;1647;1486;312
state;0;11785;116;498;239;1631;1495;296
state;0;11708;113;492;223;1632;1493;307
state;0;11761;118;511;234;1626;1489;306
state;0;11701;114;490;231;1658;1491;285
state;0;11698;115;498;232;1628;1483;290
state;0;13136;114;493;283;1643;1481;292
state;0;15183;130;628;284;2000;1794;383
state;20;1950;1589;873;1967;1673;5672;361
state;20;1991;1636;902;1892;1747;5774;382
state;20;1986;1588;874;1895;1712;5787;367
state;20;1994;1696;899;1904;1740;5743;338
state;20;1905;1658;878;1875;1742;5683;367
state;20;1995;1637;934;1911;1669;5703;353
state;20;1982;1672;897;1745;1737;5777;365
state;20;2042;1706;880;1889;1678;5618;376
state;20;1963;1624;910;1910;1759;5720;373
state;20;1913;1584;913;1884;1731;5651;353
