type;symmetry;cryptominisat(jni);glucose(jni);minisat(jni);sat4j;lingeling(jni);plingeling(jni);minisatprover(jni)
transition;0;0;2932;299;452;1403;1989;1285;396
transition;0;0;2818;255;404;1027;1714;1160;301
transition;0;0;2764;260;311;1018;1596;1146;231
transition;0;0;2797;264;318;954;1607;1144;229
transition;0;0;2765;247;312;1005;1589;1128;201
transition;0;0;2831;242;304;1077;1728;1133;200
transition;0;0;2813;240;313;997;1578;1105;197
transition;0;0;2801;246;308;992;1586;1128;208
transition;0;0;2791;240;333;1043;1612;1117;193
transition;0;0;2793;239;299;995;1567;1118;207
transition;0;20;2155;364;728;2105;1411;3991;204
transition;0;20;2120;373;745;2097;1417;4283;192
transition;0;20;2158;363;763;2161;1423;4032;203
transition;0;20;2140;366;734;2240;1410;4042;191
transition;0;20;2140;385;732;2111;1426;4009;201
transition;0;20;2114;389;703;2130;1443;4032;209
transition;0;20;2144;375;715;2122;1439;4005;195
transition;0;20;2252;386;757;2338;1498;4289;208
transition;0;20;2131;365;777;2160;1488;4037;203
transition;0;20;2133;365;753;2125;1443;4001;193
transition;4;0;4408;190;539;591;1825;1624;882
transition;4;0;4055;177;499;542;2039;1516;941
transition;4;0;4323;205;517;630;1971;1580;1011
transition;4;0;4409;202;498;527;1905;1516;1051
transition;4;0;4392;184;491;579;2075;1648;1114
transition;4;0;4025;177;509;534;1772;1444;913
transition;4;0;4052;183;523;560;1781;1428;929
transition;4;0;4138;191;518;541;1788;1459;900
transition;4;0;4125;172;500;586;1778;1429;928
transition;4;0;4102;178;509;530;1776;1433;956
state;0;0;12871;193;669;709;1867;1610;662
state;0;0;13561;142;726;531;1976;1839;407
state;0;0;12301;152;595;246;1904;1853;334
state;0;0;11921;150;494;239;1658;1545;300
state;0;0;12716;121;572;272;1701;1554;312
state;0;0;13578;124;514;328;1743;1584;297
state;0;0;12564;123;604;266;1706;1528;298
state;0;0;13659;130;534;251;1667;1525;306
state;0;0;11883;127;641;241;1771;1508;364
state;0;0;12307;119;495;238;1617;1474;313
state;0;20;1781;1752;817;1514;1741;5652;436
state;0;20;1708;1356;755;1727;1442;4936;297
state;0;20;1992;1450;720;1886;1570;5355;352
state;0;20;1653;1381;974;1384;1786;5584;298
state;0;20;1660;1310;916;1491;1643;5092;409
state;0;20;1670;1274;696;1472;1467;4939;309
state;0;20;1655;1299;731;1504;1438;5011;296
state;0;20;1669;1289;824;1412;1635;5173;396
state;0;20;1977;1614;716;1836;1502;5146;315
state;0;20;1687;1467;951;1717;1555;5365;322
state;4;0;13396;264;256;428;1981;745;195
state;4;0;12838;256;242;537;1859;752;175
state;4;0;13356;328;266;439;2101;870;175
state;4;0;13471;277;234;613;1903;773;168
state;4;0;13830;277;267;576;1980;781;177
state;4;0;12850;280;234;482;2363;899;165
state;4;0;13384;327;310;424;2155;855;212
state;4;0;12317;264;244;459;1911;750;197
state;4;0;12240;279;243;428;1979;765;173
state;4;0;13504;360;235;413;1980;788;175
state;4;20;2698;4519;1348;5168;1821;3672;194
state;4;20;2710;4625;1360;4808;1821;3671;156
state;4;20;2729;4066;1246;4638;1810;3490;159
state;4;20;2692;4217;1303;4725;1822;3534;162
state;4;20;2663;4031;1278;4384;1805;3537;161
state;4;20;2897;4301;1289;4578;1827;3514;160
state;4;20;2753;4218;1305;4552;1983;3865;156
state;4;20;2697;4071;1249;4383;1827;3530;167
state;4;20;2650;4220;1259;4382;1835;3527;153
state;4;20;2666;4420;1569;5022;2118;3616;213
